"table","column","is_pk","is_fk","i1","i2","i3","i4","i5","ui1","type","width","default","description","Notes","d_has_hash"
"geofile","geofile_id",1,,,,,,,,"INTEGER64",,,,,
"geofile","fileid",,,,,,,,1,"VARCHAR",6,"-",,,
"geofile","stusab",,,," ",,,,1,"VARCHAR",2,"-",,,
"geofile","sumlev",,,1,,,,,,"INTEGER",3,-1,,,
"geofile","geocomp",,,,,,,,,"INTEGER",2,-1,,,
"geofile","chariter",,,,,,,,,"INTEGER",3,-1,,,
"geofile","cifsn",,,,,,,,,"INTEGER",2,-1,,,
"geofile","logrecno",,,,,,,,1,"INTEGER",7,-1,,,
"geofile","region",,,,,,,,,"INTEGER",1,-1,,,
"geofile","division",,,,,,,,,"INTEGER",1,-1,,,
"geofile","statece",,,,,,,,,"INTEGER",2,-1,,,
"geofile","state",,,,,,,,,"INTEGER",2,-1,,,
"geofile","county",,,,,,,,,"INTEGER",3,-1,,,
"geofile","countysc",,,,,,,,,"INTEGER",2,-1,,,
"geofile","cousub",,,,,,,,,"INTEGER",5,-1,,,
"geofile","cousubcc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","cousubsc",,,,,,,,,"INTEGER",2,-1,,,
"geofile","place",,,,,,,,,"VARCHAR",5,-1,,,1
"geofile","placecc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","placedc",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","placesc",,,,,,,,,"INTEGER",2,-1,,,
"geofile","tract",,,,,,,,,"INTEGER",6,-1,,,
"geofile","blkgrp",,,,,,,,,"INTEGER",1,-1,,,
"geofile","block",,,,,,,,,"INTEGER",4,-1,,,
"geofile","iuc",,,,,,,,,"INTEGER",2,-1,,,
"geofile","concit",,,,,,,,,"INTEGER",5,-1,,,
"geofile","concitcc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","concitsc",,,,,,,,,"INTEGER",2,-1,,,
"geofile","aianhh",,,,,,,,,"INTEGER",4,-1,,,
"geofile","aianhhfp",,,,,,,,,"VARCHAR",5,-1,,,1
"geofile","aianhhcc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","aihhtli",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","aitsce",,,,,,,,,"INTEGER",3,-1,,,
"geofile","aits",,,,,,,,,"VARCHAR",5,-1,,,1
"geofile","aitscc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","anrc",,,,,,,,,"INTEGER",5,-1,,,
"geofile","anrccc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","msacmsa",,,,,,,,,"VARCHAR",4,-1,,,1
"geofile","masc",,,,,,,,,"VARCHAR",2,-1,,,1
"geofile","cmsa",,,,,,,,,"VARCHAR",2,-1,,,1
"geofile","macci",,,,,,,,,"VARCHAR",1,"-",,,1
"geofile","pmsa",,,,,,,,,"VARCHAR",4,-1,,,
"geofile","necma",,,,,,,,,"VARCHAR",4,-1,,,1
"geofile","necmacci",,,,,,,,,"VARCHAR",1,"-",,,1
"geofile","necmasc",,,,,,,,,"VARCHAR",2,-1,,,1
"geofile","exi",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","ua",,,,,,,,,"VARCHAR",5,-1,,,1
"geofile","uasc",,,,,,,,,"VARCHAR",2,-1,,,1
"geofile","uatype",,,,,,,,,"VARCHAR",1,"-",,,1
"geofile","ur",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","cd106",,,,,,,,,"INTEGER",2,-1,,,
"geofile","cd108",,,,,,,,,"INTEGER",2,-1,,,
"geofile","cd109",,,,,,,,,"INTEGER",2,-1,,,
"geofile","cd110",,,,,,,,,"INTEGER",2,-1,,,
"geofile","sldu",,,,,,,,,"VARCHAR",3,"-",,,
"geofile","sldl",,,,,,,,,"VARCHAR",3,"-",,,
"geofile","vtd",,,,,,,,,"VARCHAR",6,"-",,,
"geofile","vtdi",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","zcta3",,,,,,,,,"INTEGER",3,-1,,,
"geofile","zcta5",,,,,,,,,"VARCHAR",5,"-",,,
"geofile","submcd",,,,,,,,,"INTEGER",5,-1,,,
"geofile","submcdcc",,,,,,,,,"VARCHAR",2,"-",,,
"geofile","arealand",,,,,,,,,"INTEGER",14,-1,,,
"geofile","areawatr",,,,,,,,,"INTEGER",14,-1,,,
"geofile","name",,,,,,,,,"VARCHAR",90,"-",,,
"geofile","namehash",,,,,,,,,"INTEGER",,,,,
"geofile","funcstat",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","gcuni",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","pop100",,,,,,,,,"INTEGER",9,-1,,,
"geofile","hu100",,,,,,,,,"INTEGER",9,-1,,,
"geofile","intptlat",,,,,,,,,"INTEGER",9,-1,,,
"geofile","intptlon",,,,,,,,,"INTEGER",10,-1,,,
"geofile","lsadc",,,,,,,,,"VARCHAR",2,-1,,,
"geofile","partflag",,,,,,,,,"VARCHAR",1,"-",,,
"geofile","sdelm",,,,,,,,,"INTEGER",5,-1,,,
"geofile","sdsec",,,,,,,,,"INTEGER",5,-1,,,
"geofile","sduni",,,,,,,,,"INTEGER",5,-1,,,
"geofile","taz",,,,,,,,,"VARCHAR",6,"-",,,
"geofile","uga",,,,,,,,,"INTEGER",5,-1,,,
"geofile","puma5",,,,,,,,,"INTEGER",5,-1,,,
"geofile","puma1",,,,,,,,,"INTEGER",5,-1,,,
"geofile","reserved",,,,,,,,,"INTEGER",32,-1,,,
