table,seq,column,is_pk,is_fk,type,size,description,proto_vid,d_has_codes,id
geofile,1,id,1,,INTEGER,,2013 ACS geofile,,,t03q01
geofile,2,gvid,,,VARCHAR,12,gvid,c00104002,,c03q01002
geofile,3,geoidt,,,INTEGER64,12,geoidt,c00104006,,c03q01003
geofile,4,fileid,,,VARCHAR,5,fileid,,,c03q01004
geofile,5,stusab,,,VARCHAR,2,stusab,c00108007,,c03q01005
geofile,6,sumlevel,,,INTEGER,3,sumlevel,c00104004,1,c03q01006
geofile,7,component,,,VARCHAR,2,component,,,c03q01007
geofile,8,logrecno,,,INTEGER,7,logrecno,,,c03q01008
geofile,9,us,,,VARCHAR,0,us,,,c03q01009
geofile,10,region,,,VARCHAR,0,region,c00106002,,c03q0100a
geofile,11,division,,,VARCHAR,0,division,c00107004,,c03q0100b
geofile,12,statece,,,VARCHAR,0,statece,,,c03q0100c
geofile,13,state,,,INTEGER,2,state,c00108006,,c03q0100d
geofile,14,county,,,VARCHAR,3,county,c00109005,,c03q0100e
geofile,15,cousub,,,VARCHAR,5,cousub,,,c03q0100f
geofile,16,place,,,VARCHAR,5,place,c0010b005,,c03q0100g
geofile,17,tract,,,VARCHAR,6,tract,c0010c006,,c03q0100h
geofile,18,blkgrp,,,INTEGER,1,blkgrp,c0010d007,1,c03q0100i
geofile,19,concit,,,VARCHAR,5,concit,,,c03q0100j
geofile,20,aianhh,,,VARCHAR,4,aianhh,,,c03q0100k
geofile,21,aianhhfp,,,VARCHAR,0,aianhhfp,,,c03q0100l
geofile,22,aihhtli,,,VARCHAR,1,aihhtli,,,c03q0100m
geofile,23,aitsce,,,VARCHAR,3,aitsce,,,c03q0100n
geofile,24,aits,,,VARCHAR,0,aits,,,c03q0100o
geofile,25,anrc,,,VARCHAR,5,anrc,,,c03q0100p
geofile,26,cbsa,,,VARCHAR,5,cbsa,,,c03q0100q
geofile,27,csa,,,VARCHAR,3,csa,,,c03q0100r
geofile,28,metdiv,,,VARCHAR,5,metdiv,,,c03q0100s
geofile,29,macc,,,VARCHAR,0,macc,,,c03q0100t
geofile,30,memi,,,VARCHAR,1,memi,,,c03q0100u
geofile,31,necta,,,VARCHAR,5,necta,,,c03q0100v
geofile,32,cnecta,,,VARCHAR,3,cnecta,,,c03q0100w
geofile,33,nectadiv,,,VARCHAR,5,nectadiv,,,c03q0100x
geofile,34,ua,,,VARCHAR,5,ua,c0010c008,,c03q0100y
geofile,35,blank31,,,VARCHAR,0,blank31,,,c03q0100z
geofile,36,cdcurr,,,VARCHAR,2,cdcurr,,,c03q0100A
geofile,37,sldu,,,VARCHAR,3,sldu,,,c03q0100B
geofile,38,sldl,,,VARCHAR,3,sldl,,,c03q0100C
geofile,39,blank35,,,VARCHAR,0,blank35,,,c03q0100D
geofile,40,blank36,,,VARCHAR,0,blank36,,,c03q0100E
geofile,41,zcta5,,,VARCHAR,5,zcta5,,,c03q0100F
geofile,42,submcd,,,VARCHAR,5,submcd,,,c03q0100G
geofile,43,sdelm,,,VARCHAR,5,sdelm,,,c03q0100H
geofile,44,sdsec,,,VARCHAR,5,sdsec,,,c03q0100I
geofile,45,sduni,,,VARCHAR,5,sduni,,,c03q0100J
geofile,46,ur,,,VARCHAR,1,ur,,,c03q0100K
geofile,47,pci,,,VARCHAR,1,pci,,,c03q0100L
geofile,48,blank44,,,VARCHAR,0,blank44,,,c03q0100M
geofile,49,blank45,,,VARCHAR,0,blank45,,,c03q0100N
geofile,50,puma5,,,VARCHAR,5,puma5,,,c03q0100O
geofile,51,blank47,,,VARCHAR,0,blank47,,,c03q0100P
geofile,52,geoid,,,VARCHAR,27,geoid,c00104005,,c03q0100Q
geofile,53,name,,,VARCHAR,184,name,c0010400e,,c03q0100R
geofile,54,bttr,,,VARCHAR,0,bttr,,,c03q0100S
geofile,55,btbg,,,VARCHAR,0,btbg,,,c03q0100T
geofile,56,blank52,,,VARCHAR,0,blank52,,,c03q0100U
