table,column,datatype,description
,,,
geofile352,id,int,Geofile for: New England City and Town Area-State-Principal City
geofile352,fileid,str,Always equal to ACS Summary File identification
geofile352,stusab,str,State Postal Abbreviation
geofile352,sumlevel,int,Summary Level
geofile352,component,str,Geographic Component
geofile352,logrecno,int,Logical Record Number
geofile352,state,int,State (FIPS Code)
geofile352,place,int,Place (FIPS Code)
geofile352,necta,int,New England City and Town Area
geofile352,geoid,str,Geographic Identifier
geofile352,name,str,Area Name
,,,
geofile80,id,int,Geofile for: County Subdivision-Place/Remainder-Census Tract
geofile80,fileid,str,Always equal to ACS Summary File identification
geofile80,stusab,str,State Postal Abbreviation
geofile80,sumlevel,int,Summary Level
geofile80,component,str,Geographic Component
geofile80,logrecno,int,Logical Record Number
geofile80,state,int,State (FIPS Code)
geofile80,county,int,County of current residence
geofile80,cousub,int,County Subdivision (FIPS)
geofile80,place,int,Place (FIPS Code)
geofile80,tract,int,Census Tract
geofile80,geoid,str,Geographic Identifier
geofile80,name,str,Area Name
,,,
geofile332,id,int,Geofile for: Combined Statistical Area-CBSA
geofile332,fileid,str,Always equal to ACS Summary File identification
geofile332,stusab,str,State Postal Abbreviation
geofile332,sumlevel,int,Summary Level
geofile332,component,str,Geographic Component
geofile332,logrecno,int,Logical Record Number
geofile332,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile332,csa,int,Combined Statistical Area
geofile332,geoid,str,Geographic Identifier
geofile332,name,str,Area Name
,,,
geofile351,id,int,Geofile for: New England City and Town Area-State
geofile351,fileid,str,Always equal to ACS Summary File identification
geofile351,stusab,str,State Postal Abbreviation
geofile351,sumlevel,int,Summary Level
geofile351,component,str,Geographic Component
geofile351,logrecno,int,Logical Record Number
geofile351,state,int,State (FIPS Code)
geofile351,necta,int,New England City and Town Area
geofile351,geoid,str,Geographic Identifier
geofile351,name,str,Area Name
,,,
geofile324,id,int,Geofile for: State- Metropolitan Statistical Area/Metropolitan Division-County
geofile324,fileid,str,Always equal to ACS Summary File identification
geofile324,stusab,str,State Postal Abbreviation
geofile324,sumlevel,int,Summary Level
geofile324,component,str,Geographic Component
geofile324,logrecno,int,Logical Record Number
geofile324,state,int,State (FIPS Code)
geofile324,county,int,County of current residence
geofile324,cbsa,int,Metropolitan and Micropolitan Statistical Area
geofile324,metdiv,int,Metropolitan Statistical Area- Metropolitan Division
geofile324,memi,int,Metropolitan/Micropolitan Indicator Flag
geofile324,geoid,str,Geographic Identifier
geofile324,name,str,Area Name
,,,
geofile550,id,int,Geofile for: Congressional District-American IndianArea/Alaska NativeArea/Hawaiian Home Land
geofile550,fileid,str,Always equal to ACS Summary File identification
geofile550,stusab,str,State Postal Abbreviation
geofile550,sumlevel,int,Summary Level
geofile550,component,str,Geographic Component
geofile550,logrecno,int,Logical Record Number
geofile550,state,int,State (FIPS Code)
geofile550,aianhh,int,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile550,cdcurr,int,Current Congressional District ***
geofile550,geoid,str,Geographic Identifier
geofile550,name,str,Area Name
,,,
geofile322,id,int,Geofile for: State- CBSA -County
geofile322,fileid,str,Always equal to ACS Summary File identification
geofile322,stusab,str,State Postal Abbreviation
geofile322,sumlevel,int,Summary Level
geofile322,component,str,Geographic Component
geofile322,logrecno,int,Logical Record Number
geofile322,state,int,State (FIPS Code)
