table,column,datatype,size,transform,d_start,d_length,d_sequence,description
,,,,,,,,
c24020,id,int,,,116,73,116,"Sex By Occupation For The Full-Time, Year-Round Civilian Employed Population 16 Years And Over"
c24020,stusab,str,2,,2,,,State/U.S.-Abbreviation (USPS)
c24020,chariter,str,3,,3,,,Character Iteration
c24020,sequence,int,4,,4,,,Sequence Number
c24020,logrecno,int,7,,5,,,Logical Record Number
c24020,geoid,census.AcsGeoid,,^join_geoid,,,,Geoid from geofile
c24020,gvid,census.GVid,,||row.geoid.gvid,,,,GVid from geoid
c24020,sumlevel,int,,||row.geoid.sl,,,,Summary Level
c24020,jam_flags,str,,^jam_values,,,,Flags for converted Jam values
c24020,c24020001,float,,^jam_float,116,,,Total:
c24020,c24020001_m90,float,,^jam_float,116,,,Margin of error for: C24020001
c24020,c24020002,float,,^jam_float,117,,,Male:
c24020,c24020002_m90,float,,^jam_float,117,,,Margin of error for: C24020002
c24020,c24020003,float,,^jam_float,118,,,"Management, business, science, and arts occupations:"
c24020,c24020003_m90,float,,^jam_float,118,,,Margin of error for: C24020003
c24020,c24020004,float,,^jam_float,119,,,"Management, business, and financial occupations:"
c24020,c24020004_m90,float,,^jam_float,119,,,Margin of error for: C24020004
c24020,c24020005,float,,^jam_float,120,,,Management occupations
c24020,c24020005_m90,float,,^jam_float,120,,,Margin of error for: C24020005
c24020,c24020006,float,,^jam_float,121,,,Business and financial operations occupations
c24020,c24020006_m90,float,,^jam_float,121,,,Margin of error for: C24020006
c24020,c24020007,float,,^jam_float,122,,,"Computer, engineering, and science occupations:"
c24020,c24020007_m90,float,,^jam_float,122,,,Margin of error for: C24020007
c24020,c24020008,float,,^jam_float,123,,,Computer and mathematical occupations
c24020,c24020008_m90,float,,^jam_float,123,,,Margin of error for: C24020008
c24020,c24020009,float,,^jam_float,124,,,Architecture and engineering occupations
c24020,c24020009_m90,float,,^jam_float,124,,,Margin of error for: C24020009
c24020,c24020010,float,,^jam_float,125,,,"Life, physical, and social science occupations"
c24020,c24020010_m90,float,,^jam_float,125,,,Margin of error for: C24020010
c24020,c24020011,float,,^jam_float,126,,,"Education, legal, community service, arts, and media occupations:"
c24020,c24020011_m90,float,,^jam_float,126,,,Margin of error for: C24020011
c24020,c24020012,float,,^jam_float,127,,,Community and social service occupations
c24020,c24020012_m90,float,,^jam_float,127,,,Margin of error for: C24020012
c24020,c24020013,float,,^jam_float,128,,,Legal occupations
c24020,c24020013_m90,float,,^jam_float,128,,,Margin of error for: C24020013
c24020,c24020014,float,,^jam_float,129,,,"Education, training, and library occupations"
c24020,c24020014_m90,float,,^jam_float,129,,,Margin of error for: C24020014
c24020,c24020015,float,,^jam_float,130,,,"Arts, design, entertainment, sports, and media occupations"
c24020,c24020015_m90,float,,^jam_float,130,,,Margin of error for: C24020015
c24020,c24020016,float,,^jam_float,131,,,Healthcare practitioners and technical occupations:
c24020,c24020016_m90,float,,^jam_float,131,,,Margin of error for: C24020016
c24020,c24020017,float,,^jam_float,132,,,Health diagnosing and treating practitioners and other technical occupations
c24020,c24020017_m90,float,,^jam_float,132,,,Margin of error for: C24020017
c24020,c24020018,float,,^jam_float,133,,,Health technologists and technicians
c24020,c24020018_m90,float,,^jam_float,133,,,Margin of error for: C24020018
c24020,c24020019,float,,^jam_float,134,,,Service occupations:
c24020,c24020019_m90,float,,^jam_float,134,,,Margin of error for: C24020019
c24020,c24020020,float,,^jam_float,135,,,Healthcare support occupations
c24020,c24020020_m90,float,,^jam_float,135,,,Margin of error for: C24020020
c24020,c24020021,float,,^jam_float,136,,,Protective service occupations:
c24020,c24020021_m90,float,,^jam_float,136,,,Margin of error for: C24020021
c24020,c24020022,float,,^jam_float,137,,,"Fire fighting and prevention, and other protective service workers including supervisors"
c24020,c24020022_m90,float,,^jam_float,137,,,Margin of error for: C24020022
c24020,c24020023,float,,^jam_float,138,,,Law enforcement workers including supervisors
c24020,c24020023_m90,float,,^jam_float,138,,,Margin of error for: C24020023
c24020,c24020024,float,,^jam_float,139,,,Food preparation and serving related occupations
c24020,c24020024_m90,float,,^jam_float,139,,,Margin of error for: C24020024
c24020,c24020025,float,,^jam_float,140,,,Building and grounds cleaning and maintenance occupations
c24020,c24020025_m90,float,,^jam_float,140,,,Margin of error for: C24020025
c24020,c24020026,float,,^jam_float,141,,,Personal care and service occupations
c24020,c24020026_m90,float,,^jam_float,141,,,Margin of error for: C24020026
c24020,c24020027,float,,^jam_float,142,,,Sales and office occupations:
c24020,c24020027_m90,float,,^jam_float,142,,,Margin of error for: C24020027
c24020,c24020028,float,,^jam_float,143,,,Sales and related occupations
c24020,c24020028_m90,float,,^jam_float,143,,,Margin of error for: C24020028
c24020,c24020029,float,,^jam_float,144,,,Office and administrative support occupations
c24020,c24020029_m90,float,,^jam_float,144,,,Margin of error for: C24020029
c24020,c24020030,float,,^jam_float,145,,,"Natural resources, construction, and maintenance occupations:"
c24020,c24020030_m90,float,,^jam_float,145,,,Margin of error for: C24020030
c24020,c24020031,float,,^jam_float,146,,,"Farming, fishing, and forestry occupations"
c24020,c24020031_m90,float,,^jam_float,146,,,Margin of error for: C24020031
c24020,c24020032,float,,^jam_float,147,,,Construction and extraction occupations
c24020,c24020032_m90,float,,^jam_float,147,,,Margin of error for: C24020032
