name,dest_table_name,time,reftype,ref,state
geofile,,20141,ref,census.gov-acs-geofile-2014-geofile-20141,synced
states,,20141,ref,census.gov-acs-geofile-2014-geofile40-20141-40,synced
table_sequence,,20141,ref,census.gov-acs_geofile-schemas-2009e-table_sequence-2014-1,synced
b00001,b00001,,generator,TableRowGenerator,
b00002,b00002,,generator,TableRowGenerator,
b01001,b01001,,generator,TableRowGenerator,
b01001a,b01001a,,generator,TableRowGenerator,
b01001b,b01001b,,generator,TableRowGenerator,
b01001c,b01001c,,generator,TableRowGenerator,
b01001d,b01001d,,generator,TableRowGenerator,
b01001e,b01001e,,generator,TableRowGenerator,
b01001f,b01001f,,generator,TableRowGenerator,
b01001g,b01001g,,generator,TableRowGenerator,
b01001h,b01001h,,generator,TableRowGenerator,
b01001i,b01001i,,generator,TableRowGenerator,
b01002,b01002,,generator,TableRowGenerator,
b01002a,b01002a,,generator,TableRowGenerator,
b01002b,b01002b,,generator,TableRowGenerator,
b01002c,b01002c,,generator,TableRowGenerator,
b01002d,b01002d,,generator,TableRowGenerator,
b01002e,b01002e,,generator,TableRowGenerator,
b01002f,b01002f,,generator,TableRowGenerator,
b01002g,b01002g,,generator,TableRowGenerator,
b01002h,b01002h,,generator,TableRowGenerator,
b01002i,b01002i,,generator,TableRowGenerator,
b01003,b01003,,generator,TableRowGenerator,
b02001,b02001,,generator,TableRowGenerator,
b02003,b02003,,generator,TableRowGenerator,
b02008,b02008,,generator,TableRowGenerator,
b02009,b02009,,generator,TableRowGenerator,
b02010,b02010,,generator,TableRowGenerator,
b02011,b02011,,generator,TableRowGenerator,
b02012,b02012,,generator,TableRowGenerator,
b02013,b02013,,generator,TableRowGenerator,
b02014,b02014,,generator,TableRowGenerator,
b02015,b02015,,generator,TableRowGenerator,
b02016,b02016,,generator,TableRowGenerator,
b02017,b02017,,generator,TableRowGenerator,
b02018,b02018,,generator,TableRowGenerator,
b02019,b02019,,generator,TableRowGenerator,
b03001,b03001,,generator,TableRowGenerator,
b03002,b03002,,generator,TableRowGenerator,
b03003,b03003,,generator,TableRowGenerator,
b04004,b04004,,generator,TableRowGenerator,
b04005,b04005,,generator,TableRowGenerator,
b04006,b04006,,generator,TableRowGenerator,
b04007,b04007,,generator,TableRowGenerator,
b05001,b05001,,generator,TableRowGenerator,
b05001pr,b05001pr,,generator,TableRowGenerator,
b05002,b05002,,generator,TableRowGenerator,
b05003,b05003,,generator,TableRowGenerator,
b05003a,b05003a,,generator,TableRowGenerator,
b05003b,b05003b,,generator,TableRowGenerator,
b05003c,b05003c,,generator,TableRowGenerator,
b05003d,b05003d,,generator,TableRowGenerator,
b05003e,b05003e,,generator,TableRowGenerator,
b05003f,b05003f,,generator,TableRowGenerator,
b05003g,b05003g,,generator,TableRowGenerator,
b05003h,b05003h,,generator,TableRowGenerator,
b05003i,b05003i,,generator,TableRowGenerator,
b05004,b05004,,generator,TableRowGenerator,
b05005,b05005,,generator,TableRowGenerator,
b05005pr,b05005pr,,generator,TableRowGenerator,
b05006,b05006,,generator,TableRowGenerator,
b05006pr,b05006pr,,generator,TableRowGenerator,
b05007,b05007,,generator,TableRowGenerator,
b05008,b05008,,generator,TableRowGenerator,
b05009,b05009,,generator,TableRowGenerator,
b05010,b05010,,generator,TableRowGenerator,
b05011,b05011,,generator,TableRowGenerator,
b05012,b05012,,generator,TableRowGenerator,
b05012pr,b05012pr,,generator,TableRowGenerator,
b05013,b05013,,generator,TableRowGenerator,
b05014,b05014,,generator,TableRowGenerator,
b06001,b06001,,generator,TableRowGenerator,
b06001pr,b06001pr,,generator,TableRowGenerator,
b06002,b06002,,generator,TableRowGenerator,
b06002pr,b06002pr,,generator,TableRowGenerator,
b06003,b06003,,generator,TableRowGenerator,
b06003pr,b06003pr,,generator,TableRowGenerator,
b06004a,b06004a,,generator,TableRowGenerator,
b06004apr,b06004apr,,generator,TableRowGenerator,
b06004b,b06004b,,generator,TableRowGenerator,
b06004bpr,b06004bpr,,generator,TableRowGenerator,
b06004c,b06004c,,generator,TableRowGenerator,
b06004cpr,b06004cpr,,generator,TableRowGenerator,
b06004d,b06004d,,generator,TableRowGenerator,
b06004dpr,b06004dpr,,generator,TableRowGenerator,
b06004e,b06004e,,generator,TableRowGenerator,
b06004epr,b06004epr,,generator,TableRowGenerator,
b06004f,b06004f,,generator,TableRowGenerator,
b06004fpr,b06004fpr,,generator,TableRowGenerator,
