table,source,dest
2013-1-shell,line_number,line
2013-3-shell,line_number,line
2013-5-shell,line_number,line
2009-3-sequence,file_id,fileid
2009-5-sequence,file_id,fileid
2010-1-sequence,file_id,fileid
2010-3-sequence,file_id,fileid
2010-5-sequence,file_id,fileid
2012-1-sequence,file_id,fileid
2012-3-sequence,file_id,fileid
2012-5-sequence,file_id,fileid
2013-1-sequence,file_id,fileid
2013-3-sequence,file_id,fileid
2013-5-sequence,file_id,fileid
2011-1-sequence,seq,sequence_number
2011-3-sequence,seq,sequence_number
2011-5-sequence,seq,sequence_number
2009-3-sequence,start_position,start
2009-5-sequence,start_position,start
2010-1-sequence,start_position,start
2010-3-sequence,start_position,start
2010-5-sequence,start_position,start
2011-1-sequence,position,start
2011-3-sequence,position,start
2011-5-sequence,position,start
2012-1-sequence,start_position,start
2012-3-sequence,start_position,start
2012-5-sequence,start_position,start
2013-1-sequence,start_position,start
2013-3-sequence,start_position,start
2013-5-sequence,start_position,start
2009-3-sequence,total_cells_in_table,table_cells
2009-5-sequence,total_cells_in_table,table_cells
2010-1-sequence,total_cells_in_table,table_cells
2010-3-sequence,total_cells_in_table,table_cells
2010-5-sequence,total_cells_in_table,table_cells
2011-1-sequence,cells,table_cells
2011-3-sequence,cells,table_cells
2011-5-sequence,cells,table_cells
2012-1-sequence,total_cells_in_table,table_cells
2012-3-sequence,total_cells_in_table,table_cells
2012-5-sequence,total_cells_in_table,table_cells
2013-1-sequence,total_cells_in_table,table_cells
2013-3-sequence,total_cells_in_table,table_cells
2013-5-sequence,total_cells_in_table,table_cells
2009-3-sequence,total_cells_in_sequence,sequence_cells
2009-5-sequence,total_cells_in_sequence,sequence_cells
2010-1-sequence,total_cells_in_sequence,sequence_cells
2010-3-sequence,total_cells_in_sequence,sequence_cells
2010-5-sequence,total_cells_in_sequence,sequence_cells
2011-1-sequence,total,sequence_cells
2011-3-sequence,total,sequence_cells
2011-5-sequence,total,sequence_cells
2012-1-sequence,total_cells_in_sequence,sequence_cells
2012-3-sequence,total_cells_in_sequence,sequence_cells
2012-5-sequence,total_cells_in_sequence,sequence_cells
2013-1-sequence,total_cells_in_sequence,sequence_cells
2013-3-sequence,total_cells_in_sequence,sequence_cells
2013-5-sequence,total_cells_in_sequence,sequence_cells
2009-3-sequence,table_title,title
2009-5-sequence,table_title,title
2010-1-sequence,table_title,title
2010-3-sequence,table_title,title
2010-5-sequence,table_title,title
2011-1-sequence,long_table_title,title
2011-3-sequence,long_table_title,title
2011-5-sequence,long_table_title,title
2012-1-sequence,table_title,title
2012-3-sequence,table_title,title
2012-5-sequence,table_title,title
2013-1-sequence,table_title,title
2013-3-sequence,table_title,title
2013-5-sequence,table_title,title
2009-3-sequence,subject_area,subject
2009-5-sequence,subject_area,subject
2010-1-sequence,subject_area,subject
2010-3-sequence,subject_area,subject
2010-5-sequence,subject_area,subject
2011-1-sequence,subject_area,subject
2011-3-sequence,subject_area,subject
2011-5-sequence,subject_area,subject
2012-1-sequence,subject_area,subject
2012-3-sequence,subject_area,subject
2012-5-sequence,subject_area,subject
2013-1-sequence,subject_area,subject
2013-3-sequence,subject_area,subject
2013-5-sequence,subject_area,subject
2009-3-sequence,line_number,line
2009-5-sequence,line_number,line
2010-1-sequence,line_number,line
2010-3-sequence,line_number,line
2010-5-sequence,line_number,line
2011-1-sequence,line_number_decimal_m_lines,line
2011-3-sequence,line_number_decimal_m_lines,line
2011-5-sequence,line_number_decimal_m_lines,line
2012-1-sequence,line_number,line
2012-3-sequence,line_number,line
2012-5-sequence,line_number,line
2013-1-sequence,line_number,line
2013-3-sequence,line_number,line
2013-5-sequence,line_number,line
