id,stusab,chariter,sequence,logrecno,b08526001,b08526002,b08526003,b08526004,b08526005,b08526006,b08526007,b08526008,b08526009,b08526010,b08526011,b08526012,b08526013,b08526014,b08526015,b08526016,b08526017,b08526018,b08526019,b08526020,b08526021,b08526022,b08526023,b08526024,b08526025,b08526026,b08526027,b08526028,b08526029,b08526030,b08526031,b08526032,b08526033,b08526034,b08526035,b08526036,b08526037,b08526038,b08526039,b08526040,b08526041,b08526042,b08526043,b08526044,b08526045,b08526046,b08526047,b08526048,b08526049,b08526050,b08526051,b08526052,b08526053,b08526054,b08526055,b08526056,b08526057,b08526058,b08526059,b08526060,b08526061,b08526062,b08526063,b08526064,b08526065,b08526066,b08526067,b08526068,b08526069,b08526070,b08526071,b08526072,b08526073,b08526074,b08526075,b08526076,b08526077,b08526078,b08526079,b08526080,b08526081,b08526082,b08526083,b08526084,b08526085,b08526086,b08526087,b08526088,b08526089,b08526090,b08526091,b08526092,b08526093,b08526094,b08526095,b08526096,b08526097,b08526098,b08526099,b08526100,b08526101,b08526102,b08526103,b08526104,b08526105,jam_flags
1,al,000,0005,0000001,1941164.0,35045.0,149259.0,283704.0,65345.0,235877.0,102174.0,36576.0,113162.0,163146.0,393807.0,145049.0,98556.0,103526.0,15938.0,1622335.0,24281.0,107439.0,240304.0,56191.0,204954.0,87945.0,31964.0,99770.0,133217.0,335649.0,114104.0,80743.0,93808.0,11966.0,216215.0,4964.0,34081.0,34768.0,5200.0,21275.0,8767.0,2697.0,7553.0,17033.0,40115.0,20370.0,10279.0,7467.0,1646.0,8796.0,85.0,430.0,934.0,235.0,881.0,449.0,114.0,176.0,599.0,2736.0,1413.0,538.0,198.0,8.0,25731.0,1343.0,1251.0,1537.0,428.0,2569.0,564.0,252.0,1178.0,1424.0,5953.0,4295.0,2607.0,532.0,1798.0,20423.0,713.0,1947.0,2565.0,596.0,2264.0,2399.0,251.0,644.0,1633.0,2567.0,2783.0,741.0,917.0,403.0,47664.0,3659.0,4111.0,3596.0,2695.0,3934.0,2050.0,1298.0,3841.0,9240.0,6787.0,2084.0,3648.0,604.0,117.0,
2,al,000,0005,0000013,12204.0,187.0,1004.0,1528.0,368.0,2097.0,417.0,58.0,666.0,625.0,2166.0,1734.0,858.0,430.0,66.0,9756.0,146.0,673.0,1263.0,320.0,1824.0,350.0,38.0,575.0,515.0,1664.0,1314.0,685.0,323.0,66.0,1584.0,36.0,292.0,163.0,16.0,157.0,23.0,20.0,53.0,51.0,324.0,332.0,97.0,20.0,0.0,20.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,41.0,12.0,0.0,6.0,10.0,18.0,25.0,1.0,0.0,0.0,173.0,0.0,31.0,26.0,0.0,48.0,32.0,0.0,0.0,19.0,0.0,5.0,0.0,12.0,0.0,558.0,5.0,8.0,62.0,32.0,27.0,0.0,0.0,26.0,30.0,160.0,58.0,75.0,75.0,0.0,
3,al,000,0005,0000014,66346.0,1259.0,7825.0,4997.0,2393.0,10835.0,2461.0,803.0,4524.0,5547.0,11303.0,8054.0,3762.0,2529.0,54.0,53775.0,947.0,5586.0,3998.0,1833.0,9372.0,2102.0,720.0,3820.0,3958.0,9644.0,6432.0,3048.0,2305.0,10.0,8167.0,145.0,1718.0,592.0,327.0,891.0,133.0,7.0,506.0,1015.0,1310.0,963.0,368.0,173.0,19.0,183.0,0.0,31.0,0.0,18.0,0.0,14.0,0.0,0.0,12.0,30.0,11.0,67.0,0.0,0.0,1196.0,68.0,130.0,114.0,0.0,195.0,10.0,0.0,38.0,21.0,91.0,401.0,111.0,17.0,0.0,630.0,0.0,99.0,24.0,0.0,129.0,46.0,0.0,10.0,79.0,12.0,174.0,44.0,13.0,0.0,2395.0,99.0,261.0,269.0,215.0,248.0,156.0,76.0,150.0,462.0,216.0,73.0,124.0,21.0,25.0,
4,al,000,0005,0000015,10722.0,452.0,689.0,3573.0,148.0,1170.0,870.0,54.0,409.0,384.0,1328.0,428.0,336.0,868.0,13.0,8572.0,359.0,381.0,2883.0,120.0,973.0,700.0,47.0,319.0,302.0,1150.0,326.0,196.0,810.0,6.0,1482.0,47.0,266.0,646.0,28.0,111.0,86.0,7.0,37.0,42.0,96.0,65.0,21.0,23.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,235.0,24.0,0.0,0.0,0.0,69.0,15.0,0.0,18.0,0.0,48.0,0.0,58.0,3.0,0.0,178.0,8.0,11.0,44.0,0.0,0.0,69.0,0.0,13.0,0.0,8.0,4.0,0.0,21.0,0.0,229.0,14.0,31.0,0.0,0.0,17.0,0.0,0.0,22.0,14.0,26.0,33.0,61.0,11.0,0.0,
5,al,000,0005,0000016,4926.0,175.0,706.0,511.0,100.0,687.0,587.0,87.0,135.0,213.0,667.0,195.0,347.0,516.0,0.0,3836.0,175.0,489.0,383.0,100.0,563.0,523.0,68.0,109.0,126.0,499.0,83.0,302.0,416.0,0.0,726.0,0.0,136.0,58.0,0.0,120.0,58.0,15.0,0.0,75.0,126.0,14.0,32.0,92.0,0.0,65.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,16.0,6.0,0.0,0.0,171.0,0.0,47.0,13.0,0.0,0.0,6.0,0.0,0.0,12.0,11.0,82.0,0.0,0.0,0.0,75.0,0.0,34.0,0.0,0.0,4.0,0.0,4.0,26.0,0.0,0.0,0.0,7.0,0.0,0.0,
6,al,000,0005,0000017,11356.0,537.0,1065.0,1545.0,332.0,1413.0,475.0,188.0,668.0,444.0,2271.0,963.0,1002.0,438.0,15.0,8444.0,330.0,729.0,1197.0,241.0,1000.0,335.0,155.0,557.0,301.0,1819.0,594.0,758.0,413.0,15.0,1813.0,40.0,275.0,307.0,43.0,300.0,47.0,0.0,50.0,22.0,376.0,192.0,136.0,25.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,112.0,10.0,10.0,0.0,10.0,10.0,0.0,12.0,17.0,0.0,150.0,6.0,0.0,0.0,39.0,3.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,716.0,52.0,42.0,31.0,48.0,87.0,83.0,33.0,49.0,104.0,58.0,27.0,102.0,0.0,0.0,
7,al,000,0005,0000018,3787.0,377.0,268.0,828.0,7.0,227.0,344.0,60.0,186.0,39.0,902.0,176.0,42.0,331.0,0.0,2992.0,241.0,178.0,760.0,7.0,177.0,344.0,60.0,159.0,39.0,600.0,75.0,36.0,316.0,0.0,534.0,94.0,30.0,68.0,0.0,49.0,0.0,0.0,27.0,0.0,242.0,3.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,106.0,42.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,
8,al,000,0005,0000019,6845.0,362.0,548.0,1629.0,154.0,848.0,328.0,90.0,290.0,297.0,1234.0,659.0,107.0,299.0,0.0,6049.0,269.0,445.0,1470.0,142.0,745.0,286.0,90.0,249.0,290.0,1145.0,531.0,107.0,280.0,0.0,602.0,77.0,82.0,128.0,12.0,95.0,5.0,0.0,25.0,2.0,68.0,108.0,0.0,0.0,0.0,60.0,0.0,0.0,21.0,0.0,0.0,22.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,53.0,0.0,0.0,4.0,0.0,6.0,15.0,0.0,0.0,0.0,4.0,20.0,0.0,4.0,0.0,56.0,8.0,21.0,6.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,
9,al,000,0005,0000020,50754.0,316.0,3270.0,8957.0,1494.0,5847.0,2317.0,855.0,1662.0,3372.0,10372.0,3845.0,2354.0,5749.0,344.0,43774.0,149.0,2317.0,8257.0,1427.0,5096.0,1963.0,803.0,1519.0,2777.0,9069.0,3053.0,1964.0,5091.0,289.0,4923.0,86.0,826.0,566.0,36.0,473.0,218.0,6.0,101.0,443.0,865.0,557.0,209.0,518.0,19.0,220.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,0.0,95.0,36.0,32.0,18.0,0.0,436.0,0.0,29.0,46.0,0.0,46.0,25.0,0.0,14.0,23.0,105.0,62.0,74.0,6.0,6.0,663.0,1.0,40.0,44.0,31.0,108.0,55.0,18.0,19.0,5.0,90.0,95.0,36.0,91.0,30.0,738.0,80.0,58.0,21.0,0.0,124.0,40.0,28.0,9.0,124.0,148.0,42.0,39.0,25.0,0.0,
10,al,000,0005,0000021,9407.0,129.0,641.0,2307.0,144.0,1123.0,626.0,150.0,383.0,596.0,1708.0,541.0,682.0,325.0,52.0,7575.0,63.0,533.0,1963.0,118.0,919.0,522.0,109.0,339.0,504.0,1469.0,301.0,368.0,315.0,52.0,1346.0,13.0,108.0,274.0,15.0,201.0,29.0,0.0,14.0,84.0,150.0,191.0,257.0,10.0,0.0,33.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,14.0,1.0,14.0,26.0,29.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,0.0,21.0,0.0,0.0,314.0,53.0,0.0,54.0,11.0,0.0,72.0,41.0,16.0,7.0,30.0,23.0,7.0,0.0,0.0,
