table,column,datatype,caster,description
,,,,
geofile_schema,id,int,,Geofile schemas
geofile_schema,seq,int,,
geofile_schema,name,str,,
geofile_schema,description,str,,
geofile_schema,width,int,,
geofile_schema,start,int,,
geofile_schema,geolevels,str,,
geofile_schema,release,str,,
geofile_schema,year,int,,
,,,,
sumlevels,id,int,,Summary level descriptions
sumlevels,sumlevel,int,,
sumlevels,description,str,,
,,,,
table_sequence,id,int,,Table sequence and segment numbers
table_sequence,fileid,str,,
table_sequence,table_id,str,,
table_sequence,sequence_number,int,,
table_sequence,line,float,,
table_sequence,start_position,str,,
table_sequence,total_cells_in_table,str,tc_caster,
table_sequence,total_cells_in_sequence,str,tc_caster,
table_sequence,table_title,str,,
table_sequence,subject_area,str,,
table_sequence,release,int,,
table_sequence,year,int,,
table_sequence,file_id,str,,
table_sequence,seq,int,,
table_sequence,line_number,int,,
table_sequence,line_number_decimal_m_lines,float,,
table_sequence,position,int,,
table_sequence,cells,str,,
table_sequence,total,str,,
table_sequence,long_table_title,str,,
,,,,
column_meta,id,int,,Column Metadata
column_meta,release,str,,
column_meta,year,int,,
column_meta,table_id,str,,
column_meta,line_number,float,,
column_meta,column_id,str,,
column_meta,column_title,str,,
column_meta,indent,int,,
column_meta,parent_column_id,str,,
,,,,
table_shells,id,int,,ACS Table Shells
table_shells,table_id,str,,
table_shells,line,int,,
table_shells,unique_id,str,,
table_shells,stub,str,,
table_shells,release,int,,
table_shells,year,str,,
table_shells,order,float,,
table_shells,type,str,,
table_shells,indent,int,,
table_shells,line_number,float,,
,,,,
sumlevel,id,int,,
,,,,
table_meta,id,int,,Table metadata
table_meta,release,str,,
table_meta,year,int,,
table_meta,table_id,str,,
table_meta,table_title,str,,
table_meta,simple_table_title,str,,
table_meta,subject_area,str,,
table_meta,universe,str,,
table_meta,denominator_column_id,str,,
table_meta,topics,str,,
table_meta,slice,str,,Slice notation to select columns from segment file
table_meta,segment,int,,Segment number
