table,seq,column,is_pk,is_fk,type,i1,i2,i3,ui1,ui2,size,description,d_in2000,d_in2010,d_join,d_geoidl,d_geoid,id
regions,1,region_id,1,,INTEGER,,,,,,,,1,1,,,,d2sjWN01001
regions,2,geoid,,,VARCHAR,,,,1,,,,1,1,,,,d2sjWN01002
regions,3,region,,,INTEGER,,,,,1,,Region,1,1,1,,,d2sjWN01003
regions,4,lsadc,,,VARCHAR,,,,,,,Legal/Statistical Area Description Code,1,1,,,,d2sjWN01004
regions,5,intptlat,,,REAL,,1,,,,,,,1,,,,d2sjWN01005
regions,6,intptlon,,,REAL,,1,,,,,,,1,,,,d2sjWN01006
regions,7,hu100,,,INTEGER,,,,,,,Number of housing units,1,1,,,,d2sjWN01007
regions,8,pop100,,,INTEGER,,,,,,,Population,1,1,,,,d2sjWN01008
regions,9,arealand,,,REAL,,,,,,,Land area in m^2,1,1,,,,d2sjWN01009
regions,10,areawatr,,,REAL,,,,,,,Water area in m^2,1,1,,,,d2sjWN0100a
regions,11,name,,,VARCHAR,,,,,,,,1,1,,,,d2sjWN0100b
,,,,,,,,,,,,,,,,,,
divisions,1,divisions_id,1,,INTEGER,,,,,,,,1,1,,,,d2sjWN02001
divisions,2,geoid,,,VARCHAR,,,,1,,,,1,1,,,,d2sjWN02002
divisions,3,region,,,INTEGER,,,,,1,,Region,1,1,1,,,d2sjWN02003
divisions,4,division,,,INTEGER,,,,,1,,Division,1,1,1,,,d2sjWN02004
divisions,5,lsadc,,,VARCHAR,,,,,,,Legal/Statistical Area Description Code,1,1,,,,d2sjWN02005
divisions,6,intptlat,,,REAL,,1,,,,,,,1,,,,d2sjWN02006
divisions,7,intptlon,,,REAL,,1,,,,,,,1,,,,d2sjWN02007
divisions,8,hu100,,,INTEGER,,,,,,,Number of housing units,1,1,,,,d2sjWN02008
divisions,9,pop100,,,INTEGER,,,,,,,Population,1,1,,,,d2sjWN02009
divisions,10,arealand,,,REAL,,,,,,,Land area in m^2,1,1,,,,d2sjWN0200a
divisions,11,areawatr,,,REAL,,,,,,,Water area in m^2,1,1,,,,d2sjWN0200b
divisions,12,name,,,VARCHAR,,,,,,,,1,1,,,,d2sjWN0200c
,,,,,,,,,,,,,,,,,,
states,1,states_id,1,,INTEGER,,,,,,,,1,1,,,,d2sjWN03001
states,2,geoid,,,VARCHAR,,,,1,,2,,1,1,,,,d2sjWN03002
states,3,region,,,INTEGER,,,,,,1,Region,1,1,,,,d2sjWN03003
states,4,division,,,INTEGER,,,,,,1,Division,1,1,,,,d2sjWN03004
states,5,state,,,INTEGER,,,,,1,2,State(FIPS),1,1,1,2,1,d2sjWN03005
states,6,stusab,,,VARCHAR,,,,,1,2,State Abbreviation,1,1,,,,d2sjWN03006
states,7,statece,,,INTEGER,,,,,1,2,State (Census),1,,,,,d2sjWN03007
states,8,statens,,,INTEGER,,,,,1,7,State (ANSI),,1,,,,d2sjWN03008
states,9,lsadc,,,VARCHAR,,,,,,2,Legal/Statistical Area Description Code,1,1,,,,d2sjWN03009
states,10,intptlat,,,REAL,,1,,,,,,,1,,,,d2sjWN0300a
states,11,intptlon,,,REAL,,1,,,,,,,1,,,,d2sjWN0300b
states,12,hu100,,,INTEGER,,,,,,8,Number of housing units,1,1,,,,d2sjWN0300c
states,13,pop100,,,INTEGER,,,,,,8,Population,1,1,,,,d2sjWN0300d
states,14,arealand,,,REAL,,,,,,,Land area in m^2,1,1,,,,d2sjWN0300e
states,15,areawatr,,,REAL,,,,,,,Water area in m^2,1,1,,,,d2sjWN0300f
states,16,name,,,VARCHAR,,,,,,20,,1,1,,,,d2sjWN0300g
,,,,,,,,,,,,,,,,,,
counties,1,counties_id,1,,INTEGER,,,,,,,,1,1,,,,d2sjWN04001
counties,2,geoid,,,VARCHAR,,,,1,,5,,1,1,,,,d2sjWN04002
