table,seq,column,is_pk,is_fk,type,ui1,size,description,id
h1,1,id,1,,INTEGER64,,6,,d4d0RJ01001
h1,2,geoid,,,VARCHAR,1,,,d4d0RJ01002
h1,3,h00010001,,,INTEGER,,,Total,d4d0RJ01003
,,,,,,,,,
h10,1,id,1,,INTEGER64,,6,,d4d0RJ02001
h10,2,geoid,,,VARCHAR,1,,,d4d0RJ02002
h10,3,h0100001,,,INTEGER,,,Total,d4d0RJ02003
,,,,,,,,,
h11,1,id,1,,INTEGER64,,6,,d4d0RJ03001
h11,2,geoid,,,VARCHAR,1,,,d4d0RJ03002
h11,3,h0110001,,,INTEGER,,,Total population in occupied housing units:,d4d0RJ03003
h11,4,h0110002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ03004
h11,5,h0110003,,,INTEGER,,,Owned free and clear,d4d0RJ03005
h11,6,h0110004,,,INTEGER,,,Renter occupied,d4d0RJ03006
,,,,,,,,,
h11a,1,id,1,,INTEGER64,,6,,d4d0RJ04001
h11a,2,geoid,,,VARCHAR,1,,,d4d0RJ04002
h11a,3,h011a0001,,,INTEGER,,,Population in occupied housing units:,d4d0RJ04003
h11a,4,h011a0002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ04004
h11a,5,h011a0003,,,INTEGER,,,Owned free and clear,d4d0RJ04005
h11a,6,h011a0004,,,INTEGER,,,Renter occupied,d4d0RJ04006
,,,,,,,,,
h11b,1,id,1,,INTEGER64,,6,,d4d0RJ05001
h11b,2,geoid,,,VARCHAR,1,,,d4d0RJ05002
h11b,3,h011b0001,,,INTEGER,,,Population in occupied housing units:,d4d0RJ05003
h11b,4,h011b0002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ05004
h11b,5,h011b0003,,,INTEGER,,,Owned free and clear,d4d0RJ05005
h11b,6,h011b0004,,,INTEGER,,,Renter occupied,d4d0RJ05006
,,,,,,,,,
h11c,1,id,1,,INTEGER64,,6,,d4d0RJ06001
h11c,2,geoid,,,VARCHAR,1,,,d4d0RJ06002
h11c,3,h011c0001,,,INTEGER,,,Population in occupied housing units:,d4d0RJ06003
h11c,4,h011c0002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ06004
h11c,5,h011c0003,,,INTEGER,,,Owned free and clear,d4d0RJ06005
h11c,6,h011c0004,,,INTEGER,,,Renter occupied,d4d0RJ06006
,,,,,,,,,
h11d,1,id,1,,INTEGER64,,6,,d4d0RJ07001
h11d,2,geoid,,,VARCHAR,1,,,d4d0RJ07002
h11d,3,h011d0001,,,INTEGER,,,Population in occupied housing units:,d4d0RJ07003
h11d,4,h011d0002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ07004
h11d,5,h011d0003,,,INTEGER,,,Owned free and clear,d4d0RJ07005
h11d,6,h011d0004,,,INTEGER,,,Renter occupied,d4d0RJ07006
,,,,,,,,,
h11e,1,id,1,,INTEGER64,,6,,d4d0RJ08001
h11e,2,geoid,,,VARCHAR,1,,,d4d0RJ08002
h11e,3,h011e0001,,,INTEGER,,,Population in occupied housing units:,d4d0RJ08003
h11e,4,h011e0002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ08004
h11e,5,h011e0003,,,INTEGER,,,Owned free and clear,d4d0RJ08005
h11e,6,h011e0004,,,INTEGER,,,Renter occupied,d4d0RJ08006
,,,,,,,,,
h11f,1,id,1,,INTEGER64,,6,,d4d0RJ09001
h11f,2,geoid,,,VARCHAR,1,,,d4d0RJ09002
h11f,3,h011f0001,,,INTEGER,,,Population in occupied housing units:,d4d0RJ09003
h11f,4,h011f0002,,,INTEGER,,,Owned with a mortgage or a loan,d4d0RJ09004
h11f,5,h011f0003,,,INTEGER,,,Owned free and clear,d4d0RJ09005
h11f,6,h011f0004,,,INTEGER,,,Renter occupied,d4d0RJ09006
,,,,,,,,,
h12,1,id,1,,INTEGER64,,6,,d4d0RJ0a001
h12,2,geoid,,,VARCHAR,1,,,d4d0RJ0a002
h12,3,h0120001,,,REAL,,,Total,d4d0RJ0a003
h12,4,h0120002,,,REAL,,,Owner occupied,d4d0RJ0a004
h12,5,h0120003,,,REAL,,,Renter occupied,d4d0RJ0a005
,,,,,,,,,
h13,1,id,1,,INTEGER64,,6,,d4d0RJ0b001
h13,2,geoid,,,VARCHAR,1,,,d4d0RJ0b002
h13,3,h0130001,,,INTEGER,,,Total:,d4d0RJ0b003
h13,4,h0130002,,,INTEGER,,,1-person household,d4d0RJ0b004
h13,5,h0130003,,,INTEGER,,,2-person household,d4d0RJ0b005
h13,6,h0130004,,,INTEGER,,,3-person household,d4d0RJ0b006
h13,7,h0130005,,,INTEGER,,,4-person household,d4d0RJ0b007
h13,8,h0130006,,,INTEGER,,,5-person household,d4d0RJ0b008
h13,9,h0130007,,,INTEGER,,,6-person household,d4d0RJ0b009
h13,10,h0130008,,,INTEGER,,,7-or-more-person household,d4d0RJ0b00a
,,,,,,,,,
