table,seq,column,is_pk,is_fk,type,i1,size,description,d_segment,id
p1,1,id,1,,INTEGER64,,6,,,d1Fc1801001
p1,2,stusab,,,VARCHAR,1,6,,,d1Fc1801002
p1,3,logrecno,,,INTEGER,1,7,,,d1Fc1801003
p1,4,p0010001,,,INTEGER,,,Total,,d1Fc1801004
,,,,,,,,,,
p2,1,id,1,,INTEGER64,,6,,,d1Fc1802001
p2,2,stusab,,,VARCHAR,1,6,,,d1Fc1802002
p2,3,logrecno,,,INTEGER,1,7,,,d1Fc1802003
p2,4,p0020001,,,INTEGER,,,Total:,,d1Fc1802004
p2,5,p0020002,,,INTEGER,,,Urban:,,d1Fc1802005
p2,6,p0020003,,,INTEGER,,,Inside urbanized areas,,d1Fc1802006
p2,7,p0020004,,,INTEGER,,,Inside urban clusters,,d1Fc1802007
p2,8,p0020005,,,INTEGER,,,Rural,,d1Fc1802008
p2,9,p0020006,,,INTEGER,,,Not defined for this file,,d1Fc1802009
,,,,,,,,,,
p3,1,id,1,,INTEGER64,,6,,,d1Fc1803001
p3,2,stusab,,,VARCHAR,1,6,,,d1Fc1803002
p3,3,logrecno,,,INTEGER,1,7,,,d1Fc1803003
p3,4,p0030001,,,INTEGER,,,Total:,,d1Fc1803004
p3,5,p0030002,,,INTEGER,,,White alone,,d1Fc1803005
p3,6,p0030003,,,INTEGER,,,Black or African American alone,,d1Fc1803006
p3,7,p0030004,,,INTEGER,,,American Indian and Alaska Native alone,,d1Fc1803007
p3,8,p0030005,,,INTEGER,,,Asian alone,,d1Fc1803008
p3,9,p0030006,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,,d1Fc1803009
p3,10,p0030007,,,INTEGER,,,Some Other Race alone,,d1Fc180300a
p3,11,p0030008,,,INTEGER,,,Two or More Races,,d1Fc180300b
,,,,,,,,,,
p4,1,id,1,,INTEGER64,,6,,,d1Fc1804001
p4,2,stusab,,,VARCHAR,1,6,,,d1Fc1804002
p4,3,logrecno,,,INTEGER,1,7,,,d1Fc1804003
p4,4,p0040001,,,INTEGER,,,Total:,,d1Fc1804004
p4,5,p0040002,,,INTEGER,,,Not Hispanic or Latino,,d1Fc1804005
p4,6,p0040003,,,INTEGER,,,Hispanic or Latino,,d1Fc1804006
,,,,,,,,,,
p5,1,id,1,,INTEGER64,,6,,,d1Fc1805001
p5,2,stusab,,,VARCHAR,1,6,,,d1Fc1805002
p5,3,logrecno,,,INTEGER,1,7,,,d1Fc1805003
p5,4,p0050001,,,INTEGER,,,Total:,,d1Fc1805004
p5,5,p0050002,,,INTEGER,,,Not Hispanic or Latino:,,d1Fc1805005
p5,6,p0050003,,,INTEGER,,,White alone,,d1Fc1805006
p5,7,p0050004,,,INTEGER,,,Black or African American alone,,d1Fc1805007
p5,8,p0050005,,,INTEGER,,,American Indian and Alaska Native alone,,d1Fc1805008
p5,9,p0050006,,,INTEGER,,,Asian alone,,d1Fc1805009
p5,10,p0050007,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,,d1Fc180500a
p5,11,p0050008,,,INTEGER,,,Some Other Race alone,,d1Fc180500b
p5,12,p0050009,,,INTEGER,,,Two or More Races,,d1Fc180500c
p5,13,p0050010,,,INTEGER,,,Hispanic or Latino:,,d1Fc180500d
p5,14,p0050011,,,INTEGER,,,White alone,,d1Fc180500e
p5,15,p0050012,,,INTEGER,,,Black or African American alone,,d1Fc180500f
p5,16,p0050013,,,INTEGER,,,American Indian and Alaska Native alone,,d1Fc180500g
p5,17,p0050014,,,INTEGER,,,Asian alone,,d1Fc180500h
p5,18,p0050015,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,,d1Fc180500i
p5,19,p0050016,,,INTEGER,,,Some Other Race alone,,d1Fc180500j
p5,20,p0050017,,,INTEGER,,,Two or More Races,,d1Fc180500k
,,,,,,,,,,
p6,1,id,1,,INTEGER64,,6,,,d1Fc1806001
p6,2,stusab,,,VARCHAR,1,6,,,d1Fc1806002
p6,3,logrecno,,,INTEGER,1,7,,,d1Fc1806003
p6,4,p0060001,,,INTEGER,,,Total races tallied:,,d1Fc1806004
p6,5,p0060002,,,INTEGER,,,White alone or in combination with one or more other races,,d1Fc1806005
p6,6,p0060003,,,INTEGER,,,Black or African American alone or in combination with one or more other races,,d1Fc1806006
p6,7,p0060004,,,INTEGER,,,American Indian and Alaska Native alone or in combination with one or more other races,,d1Fc1806007
p6,8,p0060005,,,INTEGER,,,Asian alone or in combination with one or more other races,,d1Fc1806008
p6,9,p0060006,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,,d1Fc1806009
p6,10,p0060007,,,INTEGER,,,Some Other Race alone or in combination with one or more other races,,d1Fc180600a
,,,,,,,,,,
p7,1,id,1,,INTEGER64,,6,,,d1Fc1807001
p7,2,stusab,,,VARCHAR,1,6,,,d1Fc1807002
p7,3,logrecno,,,INTEGER,1,7,,,d1Fc1807003
p7,4,p0070001,,,INTEGER,,,Total races tallied:,,d1Fc1807004
p7,5,p0070002,,,INTEGER,,,Not Hispanic or Latino:,,d1Fc1807005
p7,6,p0070003,,,INTEGER,,,White alone or in combination with one or more other races,,d1Fc1807006
p7,7,p0070004,,,INTEGER,,,Black or African American alone or in combination with one or more other races,,d1Fc1807007
p7,8,p0070005,,,INTEGER,,,American Indian and Alaska Native alone or in combination with one or more other races,,d1Fc1807008
p7,9,p0070006,,,INTEGER,,,Asian alone or in combination with one or more other races,,d1Fc1807009
p7,10,p0070007,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,,d1Fc180700a
p7,11,p0070008,,,INTEGER,,,Some Other Race alone or in combination with one or more other races,,d1Fc180700b
p7,12,p0070009,,,INTEGER,,,Hispanic or Latino:,,d1Fc180700c
p7,13,p0070010,,,INTEGER,,,White alone or in combination with one or more other races,,d1Fc180700d
p7,14,p0070011,,,INTEGER,,,Black or African American alone or in combination with one or more other races,,d1Fc180700e
p7,15,p0070012,,,INTEGER,,,American Indian and Alaska Native alone or in combination with one or more other races,,d1Fc180700f
p7,16,p0070013,,,INTEGER,,,Asian alone or in combination with one or more other races,,d1Fc180700g
p7,17,p0070014,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,,d1Fc180700h
p7,18,p0070015,,,INTEGER,,,Some Other Race alone or in combination with one or more other races,,d1Fc180700i
,,,,,,,,,,
p8,1,id,1,,INTEGER64,,6,,,d1Fc1808001
p8,2,stusab,,,VARCHAR,1,6,,,d1Fc1808002
p8,3,logrecno,,,INTEGER,1,7,,,d1Fc1808003
p8,4,p0080001,,,INTEGER,,,Total:,,d1Fc1808004
p8,5,p0080002,,,INTEGER,,,Population of one race:,,d1Fc1808005
p8,6,p0080003,,,INTEGER,,,White alone,,d1Fc1808006
p8,7,p0080004,,,INTEGER,,,Black or African American alone,,d1Fc1808007
p8,8,p0080005,,,INTEGER,,,American Indian and Alaska Native alone,,d1Fc1808008
p8,9,p0080006,,,INTEGER,,,Asian alone,,d1Fc1808009
p8,10,p0080007,,,INTEGER,,,Native Hawaiian and Other Pacific Islander alone,,d1Fc180800a
p8,11,p0080008,,,INTEGER,,,Some Other Race alone,,d1Fc180800b
p8,12,p0080009,,,INTEGER,,,Two or More Races:,,d1Fc180800c
p8,13,p0080010,,,INTEGER,,,Population of two races:,,d1Fc180800d
p8,14,p0080011,,,INTEGER,,,White; Black or African American,,d1Fc180800e
p8,15,p0080012,,,INTEGER,,,White; American Indian and Alaska Native,,d1Fc180800f
p8,16,p0080013,,,INTEGER,,,White; Asian,,d1Fc180800g
p8,17,p0080014,,,INTEGER,,,White; Native Hawaiian and Other Pacific Islander,,d1Fc180800h
p8,18,p0080015,,,INTEGER,,,White; Some Other Race,,d1Fc180800i
p8,19,p0080016,,,INTEGER,,,Black or African American; American Indian and Alaska Native,,d1Fc180800j
p8,20,p0080017,,,INTEGER,,,Black or African American; Asian,,d1Fc180800k
p8,21,p0080018,,,INTEGER,,,Black or African American; Native Hawaiian and Other Pacific Islander,,d1Fc180800l
p8,22,p0080019,,,INTEGER,,,Black or African American; Some Other Race,,d1Fc180800m
p8,23,p0080020,,,INTEGER,,,American Indian and Alaska Native; Asian,,d1Fc180800n
p8,24,p0080021,,,INTEGER,,,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,,d1Fc180800o
p8,25,p0080022,,,INTEGER,,,American Indian and Alaska Native; Some Other Race,,d1Fc180800p
p8,26,p0080023,,,INTEGER,,,Asian; Native Hawaiian and Other Pacific Islander,,d1Fc180800q
p8,27,p0080024,,,INTEGER,,,Asian; Some Other Race,,d1Fc180800r
p8,28,p0080025,,,INTEGER,,,Native Hawaiian and Other Pacific Islander; Some Other Race,,d1Fc180800s
p8,29,p0080026,,,INTEGER,,,Population of three races:,,d1Fc180800t
