"table","seq","column","is_pk","is_fk","type","i1","i2","i3","u1","description","id"
"blocks",1,"id",1,,"INTEGER",,,,,,"d2lseu01001"
"blocks",3,"state",,,"INTEGER",,1,,,,"d2lseu01003"
"blocks",4,"statefp",,,"INTEGER",,1,,,,"d2lseu01004"
"blocks",5,"statece",,,"INTEGER",,1,,,,"d2lseu01005"
"blocks",6,"county",,,"INTEGER",,1,,,,"d2lseu01006"
"blocks",7,"countyfp",,,"INTEGER",,1,,,,"d2lseu01007"
"blocks",8,"tractce",,,"INTEGER",,1,,,,"d2lseu01008"
"blocks",9,"blockce",,,"INTEGER",,1,,,,"d2lseu01009"
"blocks",10,"geoid",,,"VARCHAR",,,,1,,"d2lseu0100a"
"blocks",11,"arealand",,,"INTEGER",,,,,,"d2lseu0100b"
"blocks",12,"areawater",,,"INTEGER",,,,,,"d2lseu0100c"
"blocks",13,"lat",,,"REAL",,,1,,,"d2lseu0100d"
"blocks",14,"lon",,,"REAL",,,1,,,"d2lseu0100e"
"blocks",15,"geometry",,,"BLOB",,,,,,"d2lseu0100f"
,,,,,,,,,,,
"blockgroups",1,"id",1,,"INTEGER",,,,,,
"blockgroups",2,"state",,,"INTEGER",,1,,,,
"blockgroups",3,"statefp",,,"INTEGER",,1,,,,
"blockgroups",4,"statece",,,"INTEGER",,1,,,,
"blockgroups",5,"county",,,"INTEGER",,1,,,,
"blockgroups",6,"countyfp",,,"INTEGER",,1,,,,
"blockgroups",7,"tractce",,,"INTEGER",,1,,,,
"blockgroups",8,"geoid",,,"VARCHAR",,,,1,,
"blockgroups",9,"arealand",,,"INTEGER",,,,,,
"blockgroups",10,"areawater",,,"INTEGER",,,,,,
"blockgroups",11,"lat",,,"REAL",,,1,,,
"blockgroups",12,"lon",,,"REAL",,,1,,,
"blockgroups",13,"geometry",,,"BLOB",,,,,,
,,,,,,,,,,,
"tracts",1,"id",1,,"INTEGER",,,,,,"d2lseu02001"
"tracts",3,"state",,,"INTEGER",,1,,,,"d2lseu02003"
"tracts",4,"statefp",,,"INTEGER",,1,,,,"d2lseu02004"
"tracts",5,"statece",,,"INTEGER",,1,,,,"d2lseu02005"
"tracts",6,"county",,,"INTEGER",,1,,,,"d2lseu02006"
"tracts",7,"countyfp",,,"INTEGER",,1,,,,"d2lseu02007"
"tracts",8,"tractce",,,"INTEGER",,1,,,,"d2lseu02008"
"tracts",10,"geoid",,,"VARCHAR",,,,1,,"d2lseu0200a"
"tracts",11,"arealand",,,"INTEGER",,,,,,"d2lseu0200b"
"tracts",12,"areawater",,,"INTEGER",,,,,,"d2lseu0200c"
"tracts",13,"lat",,,"REAL",,,1,,,"d2lseu0200d"
"tracts",14,"lon",,,"REAL",,,1,,,"d2lseu0200e"
"tracts",15,"geometry",,,"BLOB",,,,,,"d2lseu0200f"
,,,,,,,,,,,
"places",1,"id",1,,"INTEGER",,,,,,"d2lseu03001"
"places",2,"name",,,"VARCHAR",1,,,,,"d2lseu03002"
"places",3,"state",,,"INTEGER",,1,,,,"d2lseu03003"
"places",4,"statefp",,,"INTEGER",,1,,,,"d2lseu03004"
"places",5,"statece",,,"INTEGER",,1,,,,"d2lseu03005"
"places",6,"placefp",,,"INTEGER",,1,,,,"d2lseu03006"
"places",7,"placens",,,"INTEGER",,1,,,,"d2lseu03007"
"places",8,"geoid",,,"VARCHAR",,,,1,,"d2lseu03008"
"places",9,"arealand",,,"INTEGER",,,,,,"d2lseu03009"
"places",10,"areawater",,,"INTEGER",,,,,,"d2lseu0300a"
"places",11,"lat",,,"REAL",,,1,,,"d2lseu0300b"
"places",12,"lon",,,"REAL",,,1,,,"d2lseu0300c"
"places",13,"geometry",,,"BLOB",,,,,,"d2lseu0300d"
,,,,,,,,,,,
"counties",1,"id",1,,"INTEGER",,,,,,"d2lseu04001"
"counties",2,"name",,,"VARCHAR",1,,,,,"d2lseu04002"
"counties",3,"state",,,"INTEGER",,1,,,,"d2lseu04003"
"counties",4,"statefp",,,"INTEGER",,1,,,,"d2lseu04004"
"counties",5,"statece",,,"INTEGER",,1,,,,"d2lseu04005"
"counties",6,"county",,,"INTEGER",,1,,,,"d2lseu04006"
"counties",7,"countyfp",,,"INTEGER",,1,,,,"d2lseu04007"
"counties",8,"geoid",,,"VARCHAR",,,,1,,"d2lseu04008"
"counties",9,"arealand",,,"INTEGER",,,,,,"d2lseu04009"
"counties",10,"areawater",,,"INTEGER",,,,,,"d2lseu0400a"
"counties",11,"lat",,,"REAL",,,1,,,"d2lseu0400b"
"counties",12,"lon",,,"REAL",,,1,,,"d2lseu0400c"
"counties",13,"geometry",,,"BLOB",,,,,,"d2lseu0400d"
,,,,,,,,,,,
