table,seq,column,is_pk,is_fk,type,size,d_caster,d_header,description,id
vetpop,1,id,1,,INTEGER,,,,,c02N01001
vetpop,2,county_and_state,,,VARCHAR,35,,County and State,,c02N01002
vetpop,3,fips,,,INTEGER,5,,FIPS,,c02N01003
vetpop,4,state,,,INTEGER,2,,,,c02N01004
vetpop,5,county,,,INTEGER,3,,,,c02N01005
vetpop,6,09_30_10,,,INTEGER,8,nocommas,09/30/10,,c02N01006
vetpop,7,09_30_11,,,INTEGER,8,nocommas,09/30/11,,c02N01007
vetpop,8,09_30_12,,,INTEGER,8,nocommas,09/30/12,,c02N01008
vetpop,9,09_30_13,,,INTEGER,8,nocommas,09/30/13,,c02N01009
vetpop,10,09_30_14,,,INTEGER,8,nocommas,09/30/14,,c02N0100a
vetpop,11,09_30_15,,,INTEGER,8,nocommas,09/30/15,,c02N0100b
vetpop,12,09_30_16,,,INTEGER,8,nocommas,09/30/16,,c02N0100c
vetpop,13,09_30_17,,,INTEGER,8,nocommas,09/30/17,,c02N0100d
vetpop,14,09_30_18,,,INTEGER,8,nocommas,09/30/18,,c02N0100e
vetpop,15,09_30_19,,,INTEGER,8,nocommas,09/30/19,,c02N0100f
vetpop,16,09_30_20,,,INTEGER,8,nocommas,09/30/20,,c02N0100g
vetpop,17,09_30_21,,,INTEGER,8,nocommas,09/30/21,,c02N0100h
vetpop,18,09_30_22,,,INTEGER,8,nocommas,09/30/22,,c02N0100i
vetpop,19,09_30_23,,,INTEGER,8,nocommas,09/30/23,,c02N0100j
vetpop,20,09_30_24,,,INTEGER,8,nocommas,09/30/24,,c02N0100k
vetpop,21,09_30_25,,,INTEGER,8,nocommas,09/30/25,,c02N0100l
vetpop,22,09_30_26,,,INTEGER,8,nocommas,09/30/26,,c02N0100m
vetpop,23,09_30_27,,,INTEGER,8,nocommas,09/30/27,,c02N0100n
vetpop,24,09_30_28,,,INTEGER,8,nocommas,09/30/28,,c02N0100o
vetpop,25,09_30_29,,,INTEGER,8,nocommas,09/30/29,,c02N0100p
vetpop,26,09_30_30,,,INTEGER,8,nocommas,09/30/30,,c02N0100q
vetpop,27,09_30_31,,,INTEGER,8,nocommas,09/30/31,,c02N0100r
vetpop,28,09_30_32,,,INTEGER,8,nocommas,09/30/32,,c02N0100s
vetpop,29,09_30_33,,,INTEGER,8,nocommas,09/30/33,,c02N0100t
vetpop,30,09_30_34,,,INTEGER,8,nocommas,09/30/34,,c02N0100u
vetpop,31,09_30_35,,,INTEGER,8,nocommas,09/30/35,,c02N0100v
vetpop,32,09_30_36,,,INTEGER,8,nocommas,09/30/36,,c02N0100w
vetpop,33,09_30_37,,,INTEGER,8,nocommas,09/30/37,,c02N0100x
vetpop,34,09_30_38,,,INTEGER,8,nocommas,09/30/38,,c02N0100y
vetpop,35,09_30_39,,,INTEGER,8,nocommas,09/30/39,,c02N0100z
vetpop,36,09_30_40,,,INTEGER,8,nocommas,09/30/40,,c02N0100A
