table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
counties,1,id,id,,,False,,,,,
counties,2,statefp,statefp,,,False,,,,,
counties,3,countyfp,countyfp,,,False,,,,,
counties,4,countyns,countyns,,,False,,,,,
counties,5,geoid,geoid,,,False,,,,,
counties,6,name,name,,,False,,,,,
counties,7,namelsad,namelsad,,,False,,,,,
counties,8,lsad,lsad,,,False,,,,,
counties,9,classfp,classfp,,,False,,,,,
counties,10,mtfcc,mtfcc,,,False,,,,,
counties,11,csafp,csafp,,,False,,,,,
counties,12,cbsafp,cbsafp,,,False,,,,,
counties,13,metdivfp,metdivfp,,,False,,,,,
counties,14,funcstat,funcstat,,,False,,,,,
counties,15,aland,aland,,,False,,,,,
counties,16,awater,awater,,,False,,,,,
counties,17,intptlat,intptlat,,,False,,,,,
counties,18,intptlon,intptlon,,,False,,,,,
counties,19,geometry,geometry,,,False,,,,,
states,1,id,id,,,False,,,,,
states,2,region,region,,,False,,,,,
states,3,division,division,,,False,,,,,
states,4,statefp,statefp,,,False,,,,,
states,5,statens,statens,,,False,,,,,
states,6,geoid,geoid,,,False,,,,,
states,7,stusps,stusps,,,False,,,,,
states,8,name,name,,,False,,,,,
states,9,lsad,lsad,,,False,,,,,
states,10,mtfcc,mtfcc,,,False,,,,,
states,11,funcstat,funcstat,,,False,,,,,
states,12,aland,aland,,,False,,,,,
states,13,awater,awater,,,False,,,,,
states,14,intptlat,intptlat,,,False,,,,,
states,15,intptlon,intptlon,,,False,,,,,
states,16,geometry,geometry,,,False,,,,,
