name,source_table_name,dest_table_name,epsg,description,filetype,reftype,ref,state
blockgroups_url,,,,Census blockgroups,,ref,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_{state}_bg.zip,synced
places_url,,,,Places,,ref,ftp://ftp2.census.gov/geo/tiger/TIGER2015/PLACE/tl_2015_{state}_place.zip,synced
state_list,,,,List of US States,,ref,census.gov-acs-geofile-2014-geofile40-20145-40,synced
tracts_url,,,,Census Tracts,,ref,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_{state}_tract.zip,synced
blockgroups AK,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_02_bg.zip,synced
blockgroups AL,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_01_bg.zip,synced
blockgroups AR,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_05_bg.zip,synced
blockgroups AZ,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_04_bg.zip,synced
blockgroups CA,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_06_bg.zip,synced
blockgroups CO,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_08_bg.zip,synced
blockgroups CT,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_09_bg.zip,synced
blockgroups DC,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_11_bg.zip,synced
blockgroups DE,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_10_bg.zip,synced
blockgroups FL,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_12_bg.zip,synced
blockgroups GA,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_13_bg.zip,synced
blockgroups HI,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_15_bg.zip,synced
blockgroups IA,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_19_bg.zip,synced
blockgroups ID,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_16_bg.zip,synced
blockgroups IL,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_17_bg.zip,synced
blockgroups IN,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_18_bg.zip,synced
blockgroups KS,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_20_bg.zip,synced
blockgroups KY,blockgroups,blockgroups,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/BG/tl_2015_21_bg.zip,synced
